setting,model,metric,n_splits,median,q25,q75,mean,std,p025,p975
gpt,device_seconds_postrun,calib_slope,20,1.004583667421597,0.9885198036916291,1.020854690106153,1.0051931360562623,0.027213318302279358,0.9602119576881054,1.0564535388369687
gpt,device_seconds_postrun,calib_intercept,20,-0.0028550600357667094,-0.06858372438947104,0.09820329627127292,0.015527916446081683,0.1319463582004567,-0.18444028505289034,0.2809434062516133
gpt,full_interpretable,r2,20,0.926944715481121,0.9209409207272874,0.9316131534188039,0.9255663206605297,0.012173097468700675,0.8998203611565259,0.9454302464631337
gpt,full_interpretable,rmse,20,0.25970805877712455,0.24843272138362332,0.26576445440159907,0.25828194646940794,0.015161273080288673,0.23151190972884056,0.2858266434146663
gpt,full_interpretable,calib_slope,20,0.9845128448595268,0.9629522857485724,1.0105634060987292,0.9822348903393762,0.0345010029585522,0.918127422456776,1.0263169713449904
gpt,full_interpretable,calib_intercept,20,-0.10616784992175515,-0.20244454268484416,0.07357531845333429,-0.08627597062811734,0.165510411341054,-0.3715779677518947,0.11077168940230615
gpt,full_plus_hardware,r2,20,0.9650388515194646,0.9609434006148019,0.9680660577205181,0.9639025571354164,0.005552619495365173,0.9517314914422014,0.9713880333218476
gpt,full_plus_hardware,rmse,20,0.1777581000148062,0.17124273901289888,0.18696725106250214,0.1801780701877146,0.01358615562642938,0.1634596419272552,0.210560642324469
gpt,full_plus_hardware,calib_slope,20,0.9805099920366164,0.9654778926514636,1.0093972548928023,0.9840741000186091,0.033106929872252513,0.922803269734176,1.0352208081525862
gpt,full_plus_hardware,calib_intercept,20,-0.09186724743691196,-0.1690575072500087,0.04180208875455846,-0.0749166188317626,0.14864053854684098,-0.3550924369151789,0.15601077298248595
gpt,full_plus_hardware_gpu_count,r2,20,0.9707260556996572,0.9661973761209355,0.9727494188580845,0.968749243704268,0.00623536026350381,0.9552553045743917,0.9772291429057999
gpt,full_plus_hardware_gpu_count,rmse,20,0.1653777487977478,0.1582501001729123,0.17325791739964627,0.1672285996187015,0.014908367726820988,0.14468158629138023,0.1973584636392584
gpt,full_plus_hardware_gpu_count,calib_slope,20,0.9839238964011416,0.9654883718431209,1.0015088507993175,0.9851812251321455,0.03196953939299838,0.9289162108748521,1.0394108627737793
gpt,full_plus_hardware_gpu_count,calib_intercept,20,-0.07290719965197882,-0.14644186746212517,0.002652113590299714,-0.0679510338214618,0.1436606352712873,-0.3296450652254512,0.18716594711807397
gpt,hist_gradient_boosting_configuration_prerun,r2,20,0.980155727272247,0.9779337203888533,0.9814900444263006,0.9798406182993841,0.0032144435963327262,0.9737943864555364,0.9848919957856823
gpt,hist_gradient_boosting_configuration_prerun,rmse,20,0.1335930667617433,0.12693594514145531,0.14420186349420827,0.134660243822495,0.01124443641320567,0.11699720233453098,0.1549406323443278
gpt,hist_gradient_boosting_configuration_prerun,calib_slope,20,1.0083530180369533,0.9978625035571161,1.0170438149071184,1.005403533794915,0.018829068893841457,0.9659066496298085,1.0312893779632128
gpt,hist_gradient_boosting_configuration_prerun,calib_intercept,20,0.03570331335574393,-0.01921288950519446,0.07974210571643017,0.020741330690626104,0.09328001274717032,-0.17116958049455863,0.1455056457622182
gpt,hist_gradient_boosting_full_postrun,r2,20,0.9820642537166289,0.9792518257563103,0.9848391801346388,0.9808733895808881,0.005383818313432055,0.9697782458035777,0.987026299314924
gpt,hist_gradient_boosting_full_postrun,rmse,20,0.1266238271234567,0.11714503402339055,0.14068423433020077,0.1303552883631653,0.0172249637065599,0.11091103907922382,0.16504030101209044
gpt,hist_gradient_boosting_full_postrun,calib_slope,20,1.0014156889265033,0.9847220629023743,1.0130934160360987,1.0004413858939838,0.021957700337781348,0.9630837364162754,1.034285753124143
gpt,hist_gradient_boosting_full_postrun,calib_intercept,20,-0.006784599984500365,-0.0836120353618437,0.06699618787006172,0.0008655637906081574,0.10580650893731461,-0.18105229039897505,0.17759337770261843
gpt,memory_efficiency,r2,20,0.9140253860053508,0.9032785669268973,0.9160416299510622,0.9111074516528991,0.01264049375759327,0.8889233096097194,0.9339457238395866
gpt,memory_efficiency,rmse,20,0.28346073349730405,0.273141481196058,0.29289103021293195,0.28249719081997743,0.014595587768792618,0.25644281538517294,0.3031261269434339
gpt,memory_efficiency,calib_slope,20,0.9785087167612587,0.957547817118513,1.0090205224548978,0.9814765325759625,0.03477891399597027,0.9209156681561566,1.0319859602505006
gpt,memory_efficiency,calib_intercept,20,-0.08379375662654509,-0.24509843149990854,0.06404448292156763,-0.0925538464195686,0.17696112292907892,-0.3793032825335912,0.1729154860910432
gpt,random_forest_configuration_prerun,r2,20,0.9575999726903786,0.9544300075029752,0.9614727608444863,0.958209221632217,0.0052857362896395945,0.9506757690052836,0.9675073049451582
gpt,random_forest_configuration_prerun,rmse,20,0.19728743690083006,0.187198761318312,0.20195661746612348,0.1940191270560916,0.012324038107374228,0.16714504214645598,0.21069489575677172
gpt,random_forest_configuration_prerun,calib_slope,20,1.0406852332692211,1.0157866305181464,1.0609385267951925,1.04113267986745,0.030346959643722533,0.9892498983376239,1.0866436265528396
gpt,random_forest_configuration_prerun,calib_intercept,20,0.17806331530763106,0.049574001640522315,0.2985451570508922,0.17901205204664425,0.15823935333732,-0.08452322019828638,0.4268162367660529
gpt,random_forest_full_postrun,r2,20,0.973944257153007,0.9704510508613909,0.9752304392378288,0.9730208996781368,0.0036346053984744617,0.9670351074099003,0.9788510440739272
gpt,random_forest_full_postrun,rmse,20,0.1575968328535356,0.14842410049302623,0.16455769142700005,0.1558749356964611,0.0107695240063138,0.13836483458582136,0.17195998077475463
gpt,random_forest_full_postrun,calib_slope,20,1.0477442237649504,1.0325814891214153,1.0599782821681538,1.0444935781003,0.022952034263945046,1.0018041704157905,1.078648284652613
gpt,random_forest_full_postrun,calib_intercept,20,0.20733120933797833,0.1352591955739927,0.2811809932326356,0.19725106568015455,0.11414078881095778,-0.012280049468968407,0.3723632135959876
gpt,runtime_only_postrun,r2,20,0.6373892383884996,0.6160645149655823,0.6731910790699583,0.6390074514763173,0.03760533440326798,0.5714175634078135,0.6953756222783509
gpt,runtime_only_postrun,rmse,20,0.5687927213575793,0.5630066743050535,0.5755704991194412,0.5700466594605784,0.013775977187910233,0.5476023622333424,0.5947946652159604
gpt,runtime_only_postrun,calib_slope,20,1.0120790048453432,0.9900595025430241,1.047927062965337,1.021015726191029,0.06204056428505604,0.9244495576435088,1.147172442932381
gpt,runtime_only_postrun,calib_intercept,20,0.06670146599569843,-0.03997355184930227,0.2604953824686498,0.09756784764858398,0.2859914172995517,-0.3348399886911788,0.7165349850291531
gpt,tokens_only,r2,20,0.25020457682593267,0.22645715238860936,0.3054026554367184,0.25814603900827005,0.06147960194833789,0.1469754273510034,0.35960561491663096
gpt,tokens_only,rmse,20,0.8035105865954254,0.7904611358082889,0.8584767758402928,0.8192435296263876,0.051220345468164834,0.7394857481621527,0.9089571694984943
gpt,tokens_only,calib_slope,20,1.088304645186076,0.9512495674306057,1.2085842187029745,1.077885352582109,0.14667389273308318,0.8430759902397064,1.2922016137982482
gpt,tokens_only,calib_intercept,20,0.31303747857373104,-0.3261815500863891,0.9117827077363222,0.31080754265580046,0.7376758480083929,-0.9011931125124955,1.2895862186709905
gpt,total_flops_only,r2,20,0.6583761014765066,0.6419778257858988,0.6695171455918156,0.6558827621523724,0.025498306493883155,0.608106490265445,0.7020033802303851
gpt,total_flops_only,rmse,20,0.5575967431265629,0.5453033953614107,0.5641744980654511,0.5573802716126334,0.01742996376762363,0.5324448322760023,0.5914459650213351
gpt,total_flops_only,calib_slope,20,0.953887688355736,0.9217890007908174,1.0350671875887496,0.9746273736829135,0.06896455525468538,0.8722944761974555,1.0691417211127339
gpt,total_flops_only,calib_intercept,20,-0.15777098949717477,-0.35379030672952716,0.1858740727918914,-0.11519594958713605,0.3218379104490904,-0.6325875900598982,0.28500453487027505
pooled,compute_efficiency,r2,20,0.8105160068988264,0.8003958291533294,0.8248590898252164,0.8075779780564684,0.032379546641466334,0.7261246807949691,0.848178618191906
pooled,compute_efficiency,rmse,20,0.4017008058895507,0.38870678743390485,0.410950410481967,0.40439843505307466,0.02299744386080419,0.3750764113006027,0.45390523760194995
pooled,compute_efficiency,calib_slope,20,1.0063220943685114,0.9649250311976356,1.0419052436210592,0.9995632925572828,0.05107601555688029,0.8921657426355427,1.0571988251779076
pooled,compute_efficiency,calib_intercept,20,-0.012451486614370615,-0.13662764236481267,0.172801654172129,-0.013329276790521882,0.24049940256052396,-0.5140393439735234,0.29003873600015645
pooled,compute_memory,r2,20,0.6397909373586373,0.6283092469073295,0.6509332604586227,0.6355775746680308,0.03545512117151862,0.5497775145102264,0.688340136834649
pooled,compute_memory,rmse,20,0.5595915381560032,0.550921560024841,0.5643397433397785,0.5579766899440435,0.012639151773677339,0.5372860000969134,0.5818373867295294
pooled,compute_memory,calib_slope,20,0.989272747903928,0.9574321401666449,1.0348973594644162,0.992214973273495,0.05896214119601701,0.8742873568271547,1.0831272108742616
pooled,compute_memory,calib_intercept,20,-0.03166703272140131,-0.1715360756343498,0.14871954159326572,-0.04158899929605905,0.27997760612516387,-0.6085645201950673,0.401578842996106
pooled,compute_only,r2,20,0.6404463057855321,0.6296574278587341,0.6495021624377073,0.6369704666809772,0.030684857649425155,0.5670479782375626,0.6847604734712107
pooled,compute_only,rmse,20,0.558124459653971,0.5510039796773293,0.5648657439202129,0.5571476964960099,0.010649358351217537,0.5379287403290376,0.5724461287829841
pooled,compute_only,calib_slope,20,0.9955645360958485,0.9688693638497908,1.0345564511504033,0.9970669468010988,0.05420338692031731,0.9046922261097482,1.0948148321568165
pooled,compute_only,calib_intercept,20,-0.03775647551054996,-0.12853814422257404,0.1430066073868322,-0.021388911619947545,0.26059416185202194,-0.480531378395667,0.4508274047267513
pooled,configuration_only_prerun,r2,20,0.9176488927375402,0.9119044012667645,0.9209105237387867,0.9157722450817388,0.010382967567100927,0.8938037338568913,0.9306118460320671
pooled,configuration_only_prerun,rmse,20,0.26981527694391144,0.2631947497555278,0.27487488446526676,0.26822678461395466,0.01457560011482238,0.23997235565373284,0.292778222226346
pooled,configuration_only_prerun,calib_slope,20,0.9979433921649605,0.9650603101215192,1.0203583867741641,0.9914608400597356,0.047184733568561954,0.9049549008262697,1.0688805708747733
pooled,configuration_only_prerun,calib_intercept,20,-0.02716298589677975,-0.13926390637734887,0.07972454072294469,-0.04379758083010043,0.20075922187051096,-0.4204196954154421,0.27359361739721566
pooled,device_seconds_postrun,r2,20,0.8777370467529788,0.8738889762632367,0.884820303761222,0.877809365245855,0.009171564563429796,0.8605928377341499,0.8913691543970454
pooled,device_seconds_postrun,rmse,20,0.32552145460033133,0.3149633420770493,0.3342209686234454,0.3235382091570088,0.013052809848300305,0.30061000315844466,0.33972002679268015
pooled,device_seconds_postrun,calib_slope,20,0.9975678370341505,0.9759041396577577,1.007981050057876,0.9951819061822131,0.024448161530855026,0.9533141412632622,1.0391534117440537
pooled,device_seconds_postrun,calib_intercept,20,-0.00828725966097274,-0.11030397133274072,0.049439537402685606,-0.02533421007735845,0.10623683024876289,-0.21945916888599754,0.1470639604131703
pooled,full_interpretable,r2,20,0.9223497585465232,0.9147355268918982,0.927274410341885,0.9208083777438736,0.010805265642550419,0.8968686614769429,0.9351191070688241
pooled,full_interpretable,rmse,20,0.2581025135659103,0.24991914304754753,0.271299461681075,0.2598707528116636,0.013980162655965788,0.2363434747589709,0.27925927776578474
pooled,full_interpretable,calib_slope,20,1.0062625712764102,0.9706450588159777,1.0208707946093192,0.9985130784285037,0.0315267882731154,0.9411428655393275,1.0397281991611664
pooled,full_interpretable,calib_intercept,20,0.010493297043004049,-0.14929065705357925,0.11595617796406998,-0.01799617993762454,0.1557509321279239,-0.3020278420735433,0.17909038961274495
pooled,full_plus_hardware,r2,20,0.9541584175745649,0.949902166423699,0.9588708790185174,0.9536532916186727,0.006854183146576985,0.9400626365874132,0.9647371389509585
pooled,full_plus_hardware,rmse,20,0.20274681750824408,0.19411359949080936,0.2071456204233523,0.19876150076568522,0.012994466909132127,0.16990303803403348,0.21450237858227048
pooled,full_plus_hardware,calib_slope,20,0.9950669083275641,0.97802377242027,1.0159490905015884,0.9939762331847684,0.030859371308799715,0.9367456886672415,1.041659424821483
pooled,full_plus_hardware,calib_intercept,20,-0.024846408837771016,-0.09376142690340149,0.056513146578368284,-0.034558912510509694,0.1297145166787602,-0.2806208105519807,0.14641810847651146
pooled,full_plus_hardware_gpu_count,r2,20,0.9549143183416142,0.9503350157508286,0.9597005488623418,0.9541611948464395,0.00685476803840391,0.9401459147762253,0.9644769900462069
pooled,full_plus_hardware_gpu_count,rmse,20,0.20118127671621278,0.19313231942557219,0.2061857638650566,0.19764793556403054,0.012782856112949133,0.17045470992754966,0.21504606982175223
pooled,full_plus_hardware_gpu_count,calib_slope,20,0.9974942214874842,0.9760813705012436,1.0166476876628487,0.9939599117667894,0.03025753604715607,0.9386171128879001,1.038420573387152
pooled,full_plus_hardware_gpu_count,calib_intercept,20,-0.013993536896618067,-0.10539531709880151,0.05856738747721405,-0.03484260921641367,0.1274085206648546,-0.2774641096313018,0.13066514716448455
pooled,hist_gradient_boosting_configuration_prerun,r2,20,0.9711928017063822,0.9690593589298228,0.9721623103790814,0.9706728711796444,0.00454228245719016,0.961638603170058,0.979185600653042
pooled,hist_gradient_boosting_configuration_prerun,rmse,20,0.15845898211300968,0.15232728077444016,0.16128850712334503,0.15837466535031722,0.015482077836995043,0.13100123839779232,0.19031513601206487
pooled,hist_gradient_boosting_configuration_prerun,calib_slope,20,1.0063457070947255,0.9977309037684631,1.0146385993530345,1.007723576657455,0.01269739046621175,0.9902226845950935,1.0332659654032574
pooled,hist_gradient_boosting_configuration_prerun,calib_intercept,20,0.018534044077608065,-0.016482078327337196,0.06670000612065838,0.031512351714661165,0.06477880059644196,-0.05690107002592944,0.17138497782551373
pooled,hist_gradient_boosting_full_postrun,r2,20,0.9767831031252814,0.9735020376458299,0.9804042347313586,0.9767498747442884,0.00434474321550328,0.9699380699212662,0.9836749538799081
