n_test,r2,rmse,calib_intercept,calib_slope,setting,model,kind,split,split_seed,n_train,n_train_groups,n_test_groups
44,0.36795793690020495,0.7798321372527913,-0.4911193690924635,0.8725139708151937,bert,compute_only,linear,9,762179171,87,47,21
41,0.4344225433276593,0.779514660114495,1.1373554073538636,1.2887979198737565,bert,compute_only,linear,10,1784690067,90,47,21
35,0.29503779675157893,0.8473225074225701,0.37067791717035586,1.0983224679430905,bert,compute_only,linear,11,1697625005,96,47,21
41,0.28715068256807763,0.8161351427950188,1.0544626030863884,1.249196260046433,bert,compute_only,linear,12,1512746413,90,47,21
44,0.2529593400961724,0.884373022236383,-0.1668506928044691,0.8853166271834506,bert,compute_only,linear,13,1943781587,87,47,21
42,0.35407031984195025,0.8154265260508334,1.8268811182473421,1.4571344938254198,bert,compute_only,linear,14,1548783626,89,47,21
46,0.4564344051590935,0.8303191736526184,0.21098881621409094,1.0356212028533083,bert,compute_only,linear,15,380863078,85,47,21
34,0.356847835102042,0.82419207216406,-0.5613168440502174,0.8278205921651826,bert,compute_only,linear,16,1843517862,97,47,21
39,0.15637013296901092,0.808159931553162,-0.4454416208294092,0.9547838985574006,bert,compute_only,linear,17,1401844688,92,47,21
40,0.25706788949899495,0.7672285527192914,-1.0468505562657964,0.7829861335652775,bert,compute_only,linear,18,211455622,91,47,21
51,0.41598759291508636,0.7597784913973021,-0.4474710893083371,0.9051748743720313,bert,compute_only,linear,19,640600314,80,47,21
37,0.3558111279589885,0.7983013649553216,0.4641702863621832,1.1566214098261893,bert,compute_memory,linear,0,1829338324,94,47,21
39,0.4051291657084326,0.8288701293354886,0.970912273981053,1.2065419667316883,bert,compute_memory,linear,1,384259585,92,47,21
29,0.23026298302528547,0.8440705454082859,-0.3188753443285425,1.0043043841225954,bert,compute_memory,linear,2,56731231,102,47,21
45,0.43047104806024905,0.7606855722322373,-0.05443782232013491,0.9932858837051202,bert,compute_memory,linear,3,1374203058,86,47,21
34,0.2787273386844499,0.7597002949741389,-1.3227125892753782,0.7558915017439948,bert,compute_memory,linear,4,784857332,97,47,21
34,0.5090228005704238,0.7526716639122722,1.0482911730811606,1.2594175546770385,bert,compute_memory,linear,5,1003451250,97,47,21
39,0.28740186913733134,0.8134577674057653,-1.0729192094775493,0.7756577681247857,bert,compute_memory,linear,6,171429433,92,47,21
36,0.3377603745710236,0.8470115191213071,0.311862447951901,1.0211191148861847,bert,compute_memory,linear,7,795643823,95,47,21
47,0.31034469698222567,0.8475539919037641,-0.7007143378083588,0.7982174283129206,bert,compute_memory,linear,8,1381800716,84,47,21
44,0.3700514880780753,0.778539523371637,-0.47985836883864147,0.8751465592069871,bert,compute_memory,linear,9,762179171,87,47,21
41,0.4333331373444268,0.7802650430952114,1.0953315311239347,1.280851105082638,bert,compute_memory,linear,10,1784690067,90,47,21
35,0.2859909692231566,0.8527420489745883,0.15483975636046607,1.0441366331560107,bert,compute_memory,linear,11,1697625005,96,47,21
41,0.29062546754984253,0.8141435869297482,1.0011931811976855,1.234451021063431,bert,compute_memory,linear,12,1512746413,90,47,21
44,0.22920538649415856,0.8983233768799933,-0.28894795096984305,0.85397778652154,bert,compute_memory,linear,13,1943781587,87,47,21
42,0.3554562703561519,0.8145512390608173,1.4255491715674684,1.3579507825278236,bert,compute_memory,linear,14,1548783626,89,47,21
46,0.45225944228135295,0.8335017893447646,0.3092397636836623,1.0595191895982023,bert,compute_memory,linear,15,380863078,85,47,21
34,0.3607763333272508,0.8216710539957324,-0.5317829089132277,0.834760691033261,bert,compute_memory,linear,16,1843517862,97,47,21
39,0.12025976076014,0.8252747725464817,-0.7163433372375684,0.8862846443892658,bert,compute_memory,linear,17,1401844688,92,47,21
40,0.2604235041656858,0.7654939143650437,-1.058449362979816,0.7800289129994288,bert,compute_memory,linear,18,211455622,91,47,21
51,0.41387441925166013,0.7611518305051905,-0.46973221693959605,0.8989592357103161,bert,compute_memory,linear,19,640600314,80,47,21
37,0.8866630566368073,0.33484669022667085,0.3898208441253269,1.0976705496581889,bert,compute_efficiency,linear,0,1829338324,94,47,21
39,0.9083317932946197,0.32537525261607975,0.20173024855004765,1.0362777029086554,bert,compute_efficiency,linear,1,384259585,92,47,21
29,0.8883258410886173,0.32150216685060784,-0.1506381377161689,0.9867852470869966,bert,compute_efficiency,linear,2,56731231,102,47,21
45,0.8941332771976312,0.32796463135375475,0.30728135690624236,1.067548166616899,bert,compute_efficiency,linear,3,1374203058,86,47,21
34,0.8395035336550107,0.35836476031902914,-0.23274984676423116,0.9305118673417402,bert,compute_efficiency,linear,4,784857332,97,47,21
34,0.8936219937861806,0.3503489556949235,-0.0012472901293556615,0.9769715435990469,bert,compute_efficiency,linear,5,1003451250,97,47,21
39,0.8846591991954864,0.32726845948975813,0.1525800908444385,1.0387845733109604,bert,compute_efficiency,linear,6,171429433,92,47,21
36,0.8611761557167132,0.38780532511834165,0.12748960182486901,1.000938959081354,bert,compute_efficiency,linear,7,795643823,95,47,21
47,0.9316212815427201,0.2668774087755989,-0.2374016935216198,0.9506601594123693,bert,compute_efficiency,linear,8,1381800716,84,47,21
44,0.9246303292062416,0.2692938571509583,-0.05548273596133447,0.9817801311676908,bert,compute_efficiency,linear,9,762179171,87,47,21
41,0.9369694993658687,0.2602277581202557,0.10381188402119702,1.0316480664824694,bert,compute_efficiency,linear,10,1784690067,90,47,21
35,0.8637054526873778,0.3725675853339165,0.24102090913321852,1.0637466730476457,bert,compute_efficiency,linear,11,1697625005,96,47,21
41,0.8888649634929854,0.3222468703480525,-0.15039406625219975,0.9645081507741572,bert,compute_efficiency,linear,12,1512746413,90,47,21
