,GPU model,arch,model,framework,gpus,max_length,batch_size,seq_len_batch,grad_accum,num_layers,hidden_size,heads,ff,task,fp16,bf16,power_correction,energy_consumed_kWh,duration_s,tokens_seen,tokens_per_sec_run,FLOPs,params_calc,M_proxy,flops_per_token_proxy,eta_h_proxy,n_runs,median_n_epochs,T1,speed_up,parallel_efficiency,strategy,memory,compute,log_energy_consumed_kWh,log_parallel_efficiency,log_FLOPs,log_params_calc,log_tokens_seen,log_speed_up,log_M_proxy,log_compute,log_memory,log_AI
670,NVIDIA GeForce RTX 2080 Ti,gpt,"CustomGPT(L=8,d=448,h=7,ff=1792)",FSDP,4,64,8,64,8,8,448,7,1792,WIKITEXT,True,False,1.0,0.022671,167.782,5657088.0,33716.89454172676,37630406295552.0,32112640.0,1835008.0,19955712.0,3.951446,1,3.0,74.235,0.44244913041923445,0.11061228260480861,FSDP,10380801736704.0,181664030392320.0,-3.7866687042754443,-2.2017241417669484,31.258833517593647,17.284760280063797,15.548419830152682,-0.8154297806470581,14.422559399134329,32.83318011021648,29.97097922928701,16.836274118459322
671,NVIDIA GeForce RTX 2080 Ti,gpt,"CustomGPT(L=8,d=448,h=7,ff=1792)",FSDP,4,96,8,96,8,8,448,7,1792,WIKITEXT,True,False,1.0,0.025067,173.17000000000002,7911936.0,45688.83755846855,53536842842112.0,32112640.0,2752512.0,20299776.0,3.844268,1,3.0,81.943,0.47319397124213197,0.11829849281053299,FSDP,21777698783232.0,254073152471040.0,-3.686203038910528,-2.134544248480198,31.61139118407347,17.284760280063797,15.883883063273203,-0.7482498873603076,14.828024507242493,33.168643343336996,30.711907570515695,16.783366676830976
672,NVIDIA GeForce RTX 2080 Ti,gpt,"CustomGPT(L=8,d=448,h=7,ff=1792)",FSDP,4,128,8,128,8,8,448,7,1792,WIKITEXT,True,False,1.0,0.020773,137.62400000000002,7905792.0,57444.86426786025,54401968373760.0,32112640.0,3670016.0,20643840.0,3.769049,1,3.0,91.301,0.6634089984305062,0.16585224960762654,FSDP,29014383132672.0,253875852410880.0,-3.8741012124295895,-1.7966579495711694,31.62742145247702,17.284760280063797,15.88310621336037,-0.41036358845127896,15.115706579694274,33.16786649342417,30.998812793054647,16.511714872782747
673,NVIDIA GeForce RTX 2080 Ti,gpt,"CustomGPT(L=8,d=512,h=8,ff=2048)",Baseline,1,32,8,32,8,8,512,8,2048,WIKITEXT,True,False,1.0,0.002666,72.148,1356096.0,18796.062288112225,11553503969280.0,41943040.0,1048576.0,25559040.0,1.931211,2,3.0,72.148,1.0,1.0,Baseline,1421969719296.0,56878788771840.0,-5.92717605722562,0.0,30.07800988085141,17.551823065312842,14.120120541436703,0.0,13.862943611198906,31.671943606749544,27.98306415263561,16.215066269652503
674,NVIDIA GeForce RTX 2080 Ti,gpt,"CustomGPT(L=8,d=512,h=8,ff=2048)",Baseline,1,64,8,64,8,8,512,8,2048,WIKITEXT,True,False,1.0,0.003617,73.7795,1970304.0,26705.67130262526,17044611268608.0,41943040.0,2097152.0,25952256.0,1.4014885,2,3.0,73.7795,1.0,1.0,Baseline,4132026974208.0,82640539484160.0,-5.622110326012176,0.0,30.466855215075185,17.551823065312842,14.493698403529692,0.0,14.556090791758852,32.04552146884253,29.049789195288543,15.910764423316335
675,NVIDIA GeForce RTX 2080 Ti,gpt,"CustomGPT(L=8,d=512,h=8,ff=2048)",Baseline,1,96,8,96,8,8,512,8,2048,WIKITEXT,True,False,1.0,0.004543999999999999,85.46549999999999,2584512.0,30240.41288198272,22696729509888.0,41943040.0,3145728.0,26345472.0,1.273155,2,3.0,85.46549999999999,1.0,1.0,Baseline,8130171764736.0,108402290196480.0,-5.393947597563287,0.0,30.75324195558191,17.551823065312842,14.765047266671875,0.0,14.961555899867015,32.31687033198472,29.72660316653889,15.791686055714894
676,NVIDIA GeForce RTX 2080 Ti,gpt,"CustomGPT(L=8,d=512,h=8,ff=2048)",Baseline,1,128,8,128,8,8,512,8,2048,WIKITEXT,True,False,1.0,0.005386500000000001,96.03,3198720.0,33309.64019850749,28509858693120.0,41943040.0,4194304.0,26738688.0,1.1937505000000002,2,3.0,96.03,1.0,1.0,Baseline,13416404090880.0,134164040908800.0,-5.223859455630027,0.0,30.981271062443792,17.551823065312842,14.978261287748614,0.0,15.249237972318797,32.530084353061454,30.22749926006741,15.732033090124995
677,NVIDIA GeForce RTX 2080 Ti,gpt,"CustomGPT(L=8,d=512,h=8,ff=2048)",FSDP,2,32,8,32,8,8,512,8,2048,WIKITEXT,True,False,1.0,0.010628,158.928,1970496.0,12398.671096345515,16787995361280.0,41943040.0,1048576.0,25559040.0,2.756853,1,3.0,72.148,0.4539665760595993,0.22698328802979964,FSDP,2066214813696.0,82648592547840.0,-4.54426325108457,-1.4828788852249928,30.451685185088202,17.551823065312842,14.493795845673496,-0.7897317046650474,13.862943611198906,32.045618910986335,28.3567394568724,16.588741573889298
678,NVIDIA GeForce RTX 2080 Ti,gpt,"CustomGPT(L=8,d=512,h=8,ff=2048)",FSDP,2,64,8,64,8,8,512,8,2048,WIKITEXT,True,False,1.0,0.012044,164.6,3199104.0,19435.62575941677,27674655326208.0,41943040.0,2097152.0,25952256.0,2.289089,1,3.0,73.7795,0.44823511543134875,0.22411755771567438,FSDP,6709007351808.0,134180147036160.0,-4.41918866836265,-1.4955845535616585,30.95153814010813,17.551823065312842,14.978381328562635,-0.8024373730017132,14.556090791758852,32.53020439387548,29.534472120321485,16.39544734834928
679,NVIDIA GeForce RTX 2080 Ti,gpt,"CustomGPT(L=8,d=512,h=8,ff=2048)",FSDP,2,96,8,96,8,8,512,8,2048,WIKITEXT,True,False,1.0,0.013742,178.083,4427712.0,24863.193005508667,38883387506688.0,41943040.0,3145728.0,26345472.0,2.110734,1,3.0,85.46549999999999,0.47991947575007154,0.23995973787503577,FSDP,13928377614336.0,185711701524480.0,-4.2872984423732525,-1.4272841285672537,31.29158821895506,17.551823065312842,15.303393530045023,-0.7341369480073086,14.961555899867015,32.85521659535787,30.264949429912036,16.330032319088044
680,NVIDIA GeForce RTX 2080 Ti,gpt,"CustomGPT(L=8,d=512,h=8,ff=2048)",FSDP,2,128,8,128,8,8,512,8,2048,WIKITEXT,True,False,1.0,0.015064999999999999,186.41750000000002,5656320.0,30343.288629009596,50414191902720.0,41943040.0,4194304.0,26738688.0,2.034062,2,3.0,96.03,0.5151340405273109,0.25756702026365547,FSDP,23724325601280.0,237243256012800.0,-4.195381106399872,-1.3564753198748882,31.55129383673958,17.551823065312842,15.548284062044402,-0.663328139314943,15.249237972318797,33.10010712735724,30.797522034363197,16.302055864420783
681,NVIDIA GeForce RTX 2080 Ti,gpt,"CustomGPT(L=8,d=512,h=8,ff=2048)",FSDP,4,32,8,32,8,8,512,8,2048,WIKITEXT,True,False,1.0,0.022851,180.721,3199488.0,17704.01890206451,27258613923840.0,41943040.0,1048576.0,25559040.0,4.615851,1,3.0,72.148,0.39922311186857085,0.09980577796714271,FSDP,3354906329088.0,134196253163520.0,-3.7787603989233762,-2.3045292018782444,30.936390694383295,17.551823065312842,14.97850135496859,-0.9182348407583539,13.862943611198906,32.53032442028143,28.841444966167494,17.07344708318439
682,NVIDIA GeForce RTX 2080 Ti,gpt,"CustomGPT(L=8,d=512,h=8,ff=2048)",FSDP,4,64,8,64,8,8,512,8,2048,WIKITEXT,True,False,1.0,0.025389,183.679,5657088.0,30798.7739480289,48938065330176.0,41943040.0,2097152.0,25952256.0,4.076421,1,3.0,73.7795,0.4016762939693705,0.10041907349234262,FSDP,11863773413376.0,237275468267520.0,-3.6734392696260585,-2.298403114744145,31.52157664169818,17.551823065312842,15.548419830152682,-0.9121087536242544,14.556090791758852,33.10024289546553,30.104510621911533,16.965485849939327
683,NVIDIA GeForce RTX 2080 Ti,gpt,"CustomGPT(L=8,d=512,h=8,ff=2048)",FSDP,4,96,8,96,8,8,512,8,2048,WIKITEXT,True,False,1.0,0.028376,191.881,7911936.0,41233.5562145288,69481229451264.0,41943040.0,3145728.0,26345472.0,3.837887,1,3.0,85.46549999999999,0.4454088732078736,0.1113522183019684,FSDP,24888798609408.0,331850648125440.0,-3.562211561510816,-2.195056963591537,31.872077752183237,17.551823065312842,15.883883063273203,-0.8087626024716466,14.961555899867015,33.43570612858604,30.845438963140218,16.910521852316222
684,NVIDIA GeForce RTX 2080 Ti,gpt,"CustomGPT(L=8,d=512,h=8,ff=2048)",FSDP,4,128,8,128,8,8,512,8,2048,WIKITEXT,True,False,1.0,0.022760000000000002,152.22750000000002,7905792.0,51935.84046545396,70463501893632.0,41943040.0,4194304.0,26738688.0,3.840325,2,3.0,96.03,0.6308321426811844,0.1577080356702961,FSDP,33159295008768.0,331592950087680.0,-3.7827506697240065,-1.8470098308877634,31.886115988055547,17.551823065312842,15.88310621336037,-0.4607154697678729,15.249237972318797,33.434929278673216,31.132344185679166,16.63687801573675
685,NVIDIA GeForce RTX 2080 Ti,gpt,"CustomGPT(L=8,d=512,h=8,ff=2048)",FSDP,4,128,16,128,8,8,512,8,2048,WIKITEXT,True,False,1.0,0.015394999999999999,96.027,7893504.0,82200.88100221813,70353980227584.0,41943040.0,8388608.0,26738688.0,3.645539,1,3.0,96.03,1.0000312412134087,0.2500078103033522,FSDP,66215510802432.0,331077554012160.0,-4.173712497605673,-1.3862631203944784,31.884560475395023,17.551823065312842,15.881550700699847,3.124072541215087e-05,15.942385152878742,33.433373766012686,31.82393585357859,15.942175322516281
686,NVIDIA GeForce RTX 2080 Ti,gpt,"CustomGPT(L=8,d=640,h=10,ff=2560)",Baseline,1,32,8,32,8,8,640,10,2560,WIKITEXT,True,False,1.0,0.00334,74.009,1356096.0,18323.393100839086,17996804259840.0,65536000.0,1310720.0,39813120.0,1.909649,1,3.0,74.009,1.0,1.0,Baseline,1777462149120.0,88873107456000.0,-5.701784471993528,0.0,30.52121531694242,17.998110167941263,14.120120541436703,0.0,14.086087162513115,32.11823070937796,28.20620770394982,16.435128154429307
687,NVIDIA GeForce RTX 2080 Ti,gpt,"CustomGPT(L=8,d=640,h=10,ff=2560)",Baseline,1,64,8,64,8,8,640,10,2560,WIKITEXT,True,False,1.0,0.004411,81.238,1970304.0,24253.47743666757,26470797803520.0,65536000.0,2621440.0,40304640.0,1.437877,1,3.0,81.238,1.0,1.0,Baseline,5165033717760.0,129125842944000.0,-5.4236538578593345,0.0,30.907063271627223,17.998110167941263,14.493698403529692,0.0,14.77923434307306,32.491808571470955,29.272932746602752,16.127828928554163
688,NVIDIA GeForce RTX 2080 Ti,gpt,"CustomGPT(L=8,d=640,h=10,ff=2560)",Baseline,1,96,8,96,8,8,640,10,2560,WIKITEXT,True,False,1.0,0.005437,96.90299999999999,2584512.0,26671.124732980406,35146055024640.0,65536000.0,3932160.0,40796160.0,1.28433,1,3.0,96.90299999999999,1.0,1.0,Baseline,10162714705920.0,169378578432000.0,-5.214527840818353,0.0,31.19053349530175,17.998110167941263,14.765047266671875,0.0,15.184699451181226,32.763157434613134,29.9497467178531,16.005834044120526
689,NVIDIA GeForce RTX 2080 Ti,gpt,"CustomGPT(L=8,d=640,h=10,ff=2560)",Baseline,1,128,8,128,8,8,640,10,2560,WIKITEXT,True,False,1.0,0.006531,109.674,3198720.0,29165.709283877673,44022575923200.0,65536000.0,5242880.0,41287680.0,1.205219,1,3.0,109.674,1.0,1.0,Baseline,16770505113600.0,209631313920000.0,-5.031195208061617,0.0,31.415723707425208,17.998110167941263,14.978261287748614,0.0,15.472381523633006,32.97637145568988,30.45064281138162,15.943342183792202
690,NVIDIA GeForce RTX 2080 Ti,gpt,"CustomGPT(L=8,d=640,h=10,ff=2560)",FSDP,2,32,8,32,8,8,640,10,2560,WIKITEXT,True,False,1.0,0.013779,196.22500000000002,1970496.0,10042.023187667217,26150531235840.0,65536000.0,1310720.0,39813120.0,2.85823,1,3.0,74.009,0.3771639699324754,0.1885819849662377,FSDP,2582768517120.0,129138425856000.0,-4.2846095849703705,-1.6682224331423412,30.894890621179215,17.998110167941263,14.493795845673496,-0.975075252582396,14.086087162513115,32.49190601361476,28.57988300818661,16.808803458666098
691,NVIDIA GeForce RTX 2080 Ti,gpt,"CustomGPT(L=8,d=640,h=10,ff=2560)",FSDP,2,64,8,64,8,8,640,10,2560,WIKITEXT,True,False,1.0,0.015622,207.452,3199104.0,15420.935927347049,42979578347520.0,65536000.0,2621440.0,40304640.0,2.326089,1,3.0,81.238,0.39159902049630757,0.19579951024815379,FSDP,8386259189760.0,209656479744000.0,-4.1590751017940315,-1.6306640501750973,31.39174619666017,17.998110167941263,14.978381328562635,-0.9375168696151521,14.77923434307306,32.9764914965039,29.757615671635698,16.612511853587108
692,NVIDIA GeForce RTX 2080 Ti,gpt,"CustomGPT(L=8,d=640,h=10,ff=2560)",FSDP,2,96,8,96,8,8,640,10,2560,WIKITEXT,True,False,1.0,0.017543,219.15099999999998,4427712.0,20203.932448403157,60211215728640.0,65536000.0,3932160.0,40796160.0,2.152319,1,3.0,96.90299999999999,0.4421745736957623,0.22108728684788115,FSDP,17410472017920.0,290174533632000.0,-4.043100269035089,-1.5091976923291985,31.7288797586749,17.998110167941263,15.303393530045023,-0.8160505117692533,15.184699451181226,33.301503697986284,30.48809298122625,16.544180307493676
693,NVIDIA GeForce RTX 2080 Ti,gpt,"CustomGPT(L=8,d=640,h=10,ff=2560)",FSDP,2,128,8,128,8,8,640,10,2560,WIKITEXT,True,False,1.0,0.0192575,228.21699999999998,5656320.0,24786.628644963308,77845443379200.0,65536000.0,5242880.0,41287680.0,2.068908,2,3.0,109.674,0.48056893220049346,0.24028446610024673,FSDP,29655407001600.0,370692587520000.0,-3.9498546837371533,-1.425931782106796,31.985746481720994,17.998110167941263,15.548284062044402,-0.7327846015468509,15.472381523633006,33.546394229985665,31.02066558567741,16.51336495808799
694,NVIDIA GeForce RTX 2080 Ti,gpt,"CustomGPT(L=8,d=640,h=10,ff=2560)",FSDP,4,32,8,32,8,8,640,10,2560,WIKITEXT,True,False,1.0,0.02992,227.457,3199488.0,14066.342209736345,42460533227520.0,65536000.0,1310720.0,39813120.0,4.747195,1,3.0,74.009,0.325375785313268,0.081343946328317,FSDP,4193632911360.0,209681645568000.0,-3.5092281258758606,-2.509068863226575,31.379596130474308,17.998110167941263,14.97850135496859,-1.1227745021066844,14.086087162513115,32.97661152290985,29.064588517481706,17.29350896796119
695,NVIDIA GeForce RTX 2080 Ti,gpt,"CustomGPT(L=8,d=640,h=10,ff=2560)",FSDP,4,64,8,64,8,8,640,10,2560,WIKITEXT,True,False,1.0,0.032977,230.645,5657088.0,24527.251837239048,76002298429440.0,65536000.0,2621440.0,40304640.0,4.158042,1,3.0,81.238,0.35222094560905287,0.08805523640226322,FSDP,14829716766720.0,370742919168000.0,-3.4119449302089198,-2.429790975027282,31.961784698250217,17.998110167941263,15.548419830152682,-1.0434966139073916,14.77923434307306,33.546529998093945,30.327654173225742,17.182550355177153
696,NVIDIA GeForce RTX 2080 Ti,gpt,"CustomGPT(L=8,d=640,h=10,ff=2560)",FSDP,4,96,8,96,8,8,640,10,2560,WIKITEXT,True,False,1.0,0.036247,237.473,7911936.0,33317.202376691246,107592202321920.0,65536000.0,3932160.0,40796160.0,3.954973,1,3.0,96.90299999999999,0.40805902144664863,0.10201475536166216,FSDP,31110998261760.0,518516637696000.0,-3.3173986597268263,-2.2826378157517215,32.30936929190308,17.998110167941263,15.883883063273203,-0.8963434546318307,15.184699451181226,33.881993231214466,31.068582514454427,17.124669840721854
697,NVIDIA GeForce RTX 2080 Ti,gpt,"CustomGPT(L=8,d=640,h=10,ff=2560)",FSDP,4,128,8,128,8,8,640,10,2560,WIKITEXT,True,False,1.0,0.029554,189.322,7905792.0,41758.54814127443,108803936747520.0,65536000.0,5242880.0,41287680.0,3.955498,2,3.0,109.674,0.579298760841318,0.1448246902103295,FSDP,41449118760960.0,518113984512000.0,-3.5215361805006946,-1.9322313010638497,32.32056863303696,17.998110167941263,15.88310621336037,-0.5459369399439592,15.472381523633006,33.881216381301634,31.35548773699338,16.84818710940396
