setting,gpu_model,split,n_test,r2,rmse,calib_intercept,calib_slope
gpt,NVIDIA GeForce RTX 2080 Ti,17,69,0.9750851469201425,0.17310586885499227,-0.1769769873001898,0.9541732747559082
gpt,NVIDIA GeForce RTX 2080 Ti,18,67,0.9914158894007992,0.0910661225461402,0.04453291563743508,1.006834963655837
gpt,NVIDIA GeForce RTX 2080 Ti,19,63,0.9799299433797306,0.1445525773757166,0.17107379865316924,1.0360201316750637
gpt,Tesla T4,0,16,0.8762345619257651,0.3263233609221594,-0.8191693890381722,0.7969452645137451
gpt,Tesla T4,1,18,0.929554157436925,0.21674272646393103,-0.5189876803690533,0.8667604172620148
gpt,Tesla T4,2,17,0.9538298144825957,0.16487202672298054,0.24747681743206276,1.0808244614001865
gpt,Tesla T4,3,18,0.9504951386868463,0.18422394088452446,0.7633082318299977,1.1789343393804028
gpt,Tesla T4,4,19,0.9017887174289378,0.28005490241612313,-0.5795714099994245,0.8383334930097862
gpt,Tesla T4,5,17,0.9116579986807067,0.32833488880706374,-0.5176456934992606,0.8421514319965229
gpt,Tesla T4,6,16,0.9610553816405102,0.17359709236022106,0.5812189965318781,1.1434666239695592
gpt,Tesla T4,7,14,0.9671191317160728,0.15376175163727956,-0.09798430222619402,0.9946455798887789
gpt,Tesla T4,8,18,0.9697579020289971,0.1501599174085236,0.21130784766389754,1.0389282632678993
gpt,Tesla T4,9,14,0.9714537065064746,0.14118767237261912,0.15894779866070682,1.0541778683778664
gpt,Tesla T4,10,18,0.9606730709129051,0.16220851801315675,-0.21211810805561526,0.9784468283164485
gpt,Tesla T4,11,17,0.9578678105396172,0.18906616967684886,0.5603083686079295,1.1213726221044715
gpt,Tesla T4,12,19,0.8527632868044044,0.3161356385480178,-0.8853323236372599,0.7800196316986613
gpt,Tesla T4,13,18,0.9098054640389814,0.29251813687564404,-0.5485511489833066,0.85187649199836
gpt,Tesla T4,14,14,0.9473176250106733,0.19548547473280467,0.764743331895722,1.185833727375225
gpt,Tesla T4,15,14,0.9358945701847909,0.1702360866815464,0.5113154513516921,1.1132560080605085
gpt,Tesla T4,16,18,0.9584541884737597,0.17159136789264165,0.2576115518735911,1.084933340223716
gpt,Tesla T4,17,17,0.9404426544375486,0.1560694305305856,0.051239972578273466,1.035218302977755
gpt,Tesla T4,18,17,0.8856936607483353,0.2100720770654116,-0.36834149528246773,0.9542827717323473
gpt,Tesla T4,19,17,0.9511490048876721,0.18131566870417984,0.5844181373005289,1.1442055921471022
pooled,NVIDIA A100-SXM4-40GB,0,92,0.9625852242138234,0.16239323002129075,0.44502779096981776,1.0946200566536344
pooled,NVIDIA A100-SXM4-40GB,1,92,0.9580625051754157,0.1787969272066987,-0.10355776646388166,0.9745228946309801
pooled,NVIDIA A100-SXM4-40GB,2,92,0.9663839021230572,0.1534311716933294,-0.00803289265437583,1.0041939951757144
