n_test,r2,rmse,calib_intercept,calib_slope,coverage,q_log,multiplicative_half_width,median_interval_width_kwh,n_fit,n_cal,n_fit_groups,n_cal_groups,n_test_groups,setting,split
45,0.8923211992940867,0.3467950903038079,-0.05902899024886923,0.9865082129887554,0.8888888888888888,0.5780930217416511,1.782635739754108,0.02037692379493121,70,16,37,10,21,bert,15
47,0.9013856872085245,0.3167600442664268,-0.18254480873787107,0.9623615547002747,1.0,0.5923846566592541,1.8082954417343469,0.021962643852311496,64,20,37,10,21,bert,16
40,0.8685696148221622,0.3813480128631547,0.1615915582081448,1.0254223906597595,0.875,0.5650603073449436,1.7595538935457569,0.023715165081137628,67,24,37,10,21,bert,17
38,0.862023349444215,0.355609006613106,0.010976648674804485,1.018140281375172,0.8421052631578947,0.48594106565191275,1.6257041835718,0.018941738974423104,77,16,37,10,21,bert,18
33,0.8680669674521856,0.3992260802293421,0.5638702767227874,1.0863617138948058,0.8787878787878788,0.6629769253803373,1.9405606484683278,0.019570581874632308,72,26,37,10,21,bert,19
172,0.8495702668281697,0.37871798216154995,-0.12248991876948277,0.9884648564409692,0.9651162790697675,0.6825018708359414,1.9788223021208793,0.017574614040781707,305,85,99,25,54,gpt,0
163,0.8369410236688808,0.38261076496447327,-0.20678006076997227,0.946991639872985,0.9386503067484663,0.6955395349209978,2.0047904366483262,0.016900894867023623,322,77,99,25,54,gpt,1
166,0.8310204632329268,0.40253807657969526,0.4690417399942141,1.08467869629763,0.9457831325301205,0.7491883747412493,2.11528250300941,0.01675173385945104,309,87,99,25,54,gpt,2
167,0.8291160193964058,0.38915958050893434,0.1316799589318374,1.036480472569987,0.9640718562874252,0.710035506905458,2.0340634806642566,0.014630712397429291,316,79,99,25,54,gpt,3
175,0.8535216500585846,0.3506374638654657,-0.45373928014377785,0.9113685848874462,0.9942857142857143,0.7864279613494713,2.1955398494107943,0.017659681059770935,307,80,99,25,54,gpt,4
161,0.8506861137170161,0.38326343574855504,0.4381897277184409,1.0909354853893538,0.9751552795031055,0.9040845391489727,2.4696700016637205,0.019176514160809333,319,82,99,25,54,gpt,5
177,0.7843267111708075,0.40753270021565846,-0.46902622993397186,0.9178880626420893,0.9774011299435028,0.8558246716671096,2.353314292190461,0.021307177451140465,311,74,99,25,54,gpt,6
172,0.8411421476560655,0.38300476910672265,-0.18887467511899744,0.9529829616269648,0.9069767441860465,0.5978175647821224,1.8181464803915988,0.012809239600210812,311,79,99,25,54,gpt,7
163,0.8328002929380596,0.3782838100642079,-0.14885122871828796,0.9777221035969542,0.9754601226993865,0.8281096437461262,2.2889876457869085,0.020395469515409867,323,76,99,25,54,gpt,8
171,0.824888179946449,0.40634096894307714,0.0857663708629651,1.0067986441767078,0.9707602339181286,0.90548864841253,2.473140123836211,0.02541277836753097,313,78,99,25,54,gpt,9
169,0.8401268296725766,0.3680650564850552,-0.08160697541738357,1.0033890921698905,0.9704142011834319,0.6643885218822634,1.9433018713866412,0.01504485858688923,308,85,99,25,54,gpt,10
172,0.8445435859146911,0.3910288625108835,0.18760415445453515,1.0220127142105842,0.9069767441860465,0.6816033692767651,1.9770451257145372,0.014238379548586925,311,79,99,25,54,gpt,11
172,0.8542648059729017,0.3849088266055285,0.02029515557079404,1.0014675989692219,0.936046511627907,0.6646437226842852,1.94379786686932,0.015466573276204501,306,84,99,25,54,gpt,12
168,0.8386783672956025,0.35363176426711335,-0.17558018914086593,0.9668900725306565,1.0,1.058178357726049,2.8811178399876645,0.03473554113558125,313,81,99,25,54,gpt,13
169,0.8408980107128929,0.3768280852311684,0.06241348853325267,1.0225979071120799,0.9763313609467456,0.7384392463876082,2.0926668270401834,0.017488518826258792,314,79,99,25,54,gpt,14
170,0.8097048909195297,0.38772680845726926,-0.4485731007097496,0.9132438026370733,0.9941176470588236,0.9038572780249119,2.469108805454539,0.027134565676693454,310,82,99,25,54,gpt,15
176,0.8338509167905983,0.38761868927251647,-0.4173024554574337,0.9233787537857364,0.9602272727272727,0.6581468088250437,1.9312101146167977,0.014627705659270103,304,82,99,25,54,gpt,16
175,0.8120530048998226,0.38538717794017685,0.17110057346382893,1.03811007357334,0.9314285714285714,0.671686087295126,1.9575351147570375,0.018500153049031683,308,79,99,25,54,gpt,17
172,0.8427938026716025,0.38214472952912193,0.026467268185322006,1.0079153477549605,0.9709302325581395,0.8523649755051688,2.3451866075326606,0.01858097775164698,307,83,99,25,54,gpt,18
170,0.8136926046281212,0.40534416110654126,-0.03470119368815089,0.9875410333972792,0.9235294117647059,0.6574336087416599,1.9298332664444986,0.01682775530066779,309,83,99,25,54,gpt,19
203,0.8327166208321677,0.3724826756281214,-0.21257462639120991,0.956502101995975,0.9605911330049262,0.7136709295878139,2.0414716188770496,0.02026081339206256,353,99,137,35,74,pooled,0
172,0.8343387900944957,0.36940141078559535,-0.041017875009816844,0.9759737997626827,0.9767441860465116,0.8149352130469096,2.2590293119825664,0.016760906799635454,393,90,137,35,74,pooled,1
