setting,model,metric,n_splits,median,q25,q75,mean,std,p025,p975
bert,measured_eta_postrun,r2,20,0.9371085859289998,0.9253046476959635,0.9476692059900945,0.9365167858522468,0.012846918051285808,0.9178720450208229,0.9532596513103722
bert,measured_eta_postrun,rmse,20,0.2532943357482744,0.22715063996025264,0.2696209967450304,0.2499182933532095,0.024061113392257076,0.20968984702467408,0.28493536241272344
bert,measured_eta_postrun,calib_slope,20,1.0102611532040542,0.9915435930067091,1.0423707218926321,1.0129216904327394,0.03689246443151847,0.9536409785755238,1.0735253568216299
bert,measured_eta_postrun,calib_intercept,20,0.09342610659794598,-0.10037680087434758,0.1678648453830417,0.0540797399003541,0.16342261530621116,-0.20528157645200112,0.3131957015169338
bert,predicted_eta_prerun,r2,20,0.8778341463345654,0.8662584283365388,0.897233480817919,0.879378673768695,0.019071719025846392,0.8486741673551649,0.9079322360385513
bert,predicted_eta_prerun,rmse,20,0.34477461932302,0.32212762126114247,0.3670215762547768,0.34524556720968047,0.02693677539901051,0.30952280411734007,0.3917752123416971
bert,predicted_eta_prerun,calib_slope,20,1.0085159762916511,0.9844627971898706,1.0536636922272953,1.0165650282048087,0.06523566328215634,0.9145966093320865,1.138153763945789
bert,predicted_eta_prerun,calib_intercept,20,0.05420938658342657,-0.10278649710351603,0.2754980684414466,0.06857123290674658,0.30887733032052594,-0.4061928502026464,0.644150727589947
gpt,configuration_only_legacy_no_strategy,r2,20,0.7750969694219743,0.7618649056550899,0.7896869329624112,0.7753332665167305,0.021704321175558604,0.737076907809281,0.813332648208763
gpt,configuration_only_legacy_no_strategy,rmse,20,0.4484320027388752,0.43873760705510145,0.4560073551406215,0.4499726298177539,0.014984758990621072,0.42689072588384946,0.4779857122305617
gpt,configuration_only_legacy_no_strategy,calib_slope,20,0.9884356561830983,0.9417323846420258,1.0354378526575223,0.9804785632736106,0.06340853637120725,0.863640299408352,1.0548331964710487
gpt,configuration_only_legacy_no_strategy,calib_intercept,20,-0.019437298459924052,-0.3286151015761721,0.12934535130136698,-0.09276275439575293,0.3022729941556505,-0.6656985162578011,0.2859949232276896
gpt,configuration_only_matched_features,r2,20,0.833736403875562,0.8280229159098246,0.8476264843181543,0.834335386742521,0.0176189576900168,0.8007267378299533,0.8649457676301526
gpt,configuration_only_matched_features,rmse,20,0.3836570253785375,0.37808040057110764,0.39222072314863277,0.38623286773384563,0.013246282750570566,0.36560702353911534,0.4105167812276675
gpt,configuration_only_matched_features,calib_slope,20,0.9795704317558371,0.9439626156154337,1.0248103817723353,0.9790085348706186,0.05270320639364025,0.8806466863913734,1.041263421231362
gpt,configuration_only_matched_features,calib_intercept,20,-0.04294660744691275,-0.32789489803292127,0.07958555542395315,-0.10195085254614715,0.2577955417395256,-0.5866248418915917,0.23357785256527872
gpt,eta_predictor,r2,20,0.9123271492328776,0.9042744645120193,0.9181564985129678,0.9109938085291217,0.00884619513787527,0.8963061001027799,0.924335286424758
gpt,eta_predictor,rmse,20,0.2510597856016392,0.24282369425879574,0.26222172879581734,0.25258322823552043,0.013967142290085013,0.23111144000612374,0.27752766427731623
gpt,eta_predictor,calib_slope,20,0.9993072669317956,0.9787696006491613,1.0220025494640126,0.9981247844133773,0.029628875852640884,0.9469215263365874,1.0459647583908784
gpt,eta_predictor,calib_intercept,20,0.0018040582676770774,-0.0113168380568643,0.0133692261666564,0.001087243821912136,0.018613823928002884,-0.029710154229699703,0.034103373892085356
gpt,measured_eta_postrun,r2,20,0.9269447154811208,0.9209409207272876,0.9316131534188039,0.9255663206605297,0.012173097468700855,0.8998203611565252,0.9454302464631337
gpt,measured_eta_postrun,rmse,20,0.25970805877712444,0.24843272138362194,0.26576445440159957,0.25828194646940805,0.015161273080288891,0.23151190972884056,0.2858266434146671
