setting,split,feature,importance_r2_drop,importance_std
gpt,9,strategy,0.6803775115848633,0.05671418722859494
gpt,10,log_C,0.6551525507691688,0.046959024429884005
gpt,10,log_M,0.8478803479335387,0.07323387095806001
gpt,10,gpus,0.19330728801958905,0.019351122158940432
gpt,10,strategy,0.6572128148122893,0.05728213208977926
gpt,11,log_C,0.41336484657006767,0.037950586306675235
gpt,11,log_M,0.550260140899932,0.04909537761031899
gpt,11,gpus,0.2036988676447894,0.02455255466312537
gpt,11,strategy,0.6885231547775404,0.04196434497433885
gpt,12,log_C,0.7108574532790819,0.057120543867940965
gpt,12,log_M,0.8695115970189463,0.06372949553198881
gpt,12,gpus,0.17764661482900249,0.026002092661518976
gpt,12,strategy,0.686724111194671,0.05570903038741036
gpt,13,log_C,0.6821357056659938,0.05821464149735389
gpt,13,log_M,0.8682915332628229,0.09264547658001519
gpt,13,gpus,0.18833425622741867,0.016697672533104228
gpt,13,strategy,0.6809258748712724,0.07012418335089747
gpt,14,log_C,0.7300250586943854,0.052325320961278704
gpt,14,log_M,0.8059379293858605,0.06095358693170117
gpt,14,gpus,0.1966767703697275,0.021167582289136164
gpt,14,strategy,0.6712732368555568,0.04203591364707654
gpt,15,log_C,0.5256272581521555,0.04780766851165986
gpt,15,log_M,0.6754526242086386,0.059096492001588286
gpt,15,gpus,0.18687760027884656,0.019565008741028393
gpt,15,strategy,0.6605627206938238,0.05349685031485524
gpt,16,log_C,0.7219292984762412,0.053729802957704284
gpt,16,log_M,0.7720165958397242,0.059424910016119936
gpt,16,gpus,0.18009663661914505,0.013531804261777471
gpt,16,strategy,0.6454452046485102,0.04526052230936227
gpt,17,log_C,0.6657904252005964,0.032774062360482054
gpt,17,log_M,0.7597326440577803,0.05359823569326502
gpt,17,gpus,0.1860070776996918,0.02221792050784919
gpt,17,strategy,0.6930322318836417,0.046287633337393407
gpt,18,log_C,0.5916370883816169,0.0509499832734303
gpt,18,log_M,0.659104850773521,0.0537499874911061
gpt,18,gpus,0.1937313577587614,0.02049192065274671
gpt,18,strategy,0.6556782069200902,0.0519354253452599
gpt,19,log_C,0.5397647315691905,0.034097761644399836
gpt,19,log_M,0.6566062028034548,0.05457296823873885
gpt,19,gpus,0.21348094226524297,0.01788868568149254
gpt,19,strategy,0.666248659001617,0.044893646642769285
pooled,0,log_C,1.3079115171505704,0.10272734279566392
pooled,0,log_M,1.5161099705861882,0.10480788404516522
pooled,0,gpus,0.14590240131164023,0.012735051386354711
pooled,0,strategy,0.5380249327990928,0.04334757742858237
pooled,0,arch,-9.132757748593715e-05,0.0006106909545757204
pooled,1,log_C,1.2646488910542628,0.10520246800265169
