setting,split,model,n_test,r2,rmse,calib_intercept,calib_slope
bert,11,configuration_only_legacy_no_strategy,35,0.6231510837043899,0.6195116270697265,1.0113436069002117,1.2820639876677842
bert,11,configuration_only_matched_features,35,0.8618114860707461,0.375147277938767,0.48209240789899765,1.1230865502377467
bert,11,predicted_eta_prerun,35,0.8552883781680772,0.38389948697115506,0.49008244597369865,1.1242876573859415
bert,11,measured_eta_postrun,35,0.9218881385592842,0.28204884135842395,0.3037830559025915,1.0836406310735764
bert,12,eta_predictor,41,0.9395282385358048,0.23207787380868217,0.044498866950185595,1.08840702755176
bert,12,configuration_only_legacy_no_strategy,41,0.5950917899497268,0.6150940150763589,1.3489696399090645,1.3406999318803172
bert,12,configuration_only_matched_features,41,0.8949750210864977,0.31326329484560944,0.43386904635614615,1.1113142417020165
bert,12,predicted_eta_prerun,41,0.8841685119086722,0.32898532648241846,0.4109420625542898,1.1043556065033298
bert,12,measured_eta_postrun,41,0.9473594225500488,0.22178058887817145,-0.04390777567164682,0.9997710050995386
bert,13,eta_predictor,44,0.9131184457440492,0.27462729387084556,0.10963941383382246,1.0277738203876223
bert,13,configuration_only_legacy_no_strategy,44,0.5678883802967818,0.6726069310432572,-0.17794054423762104,0.9572863955263662
bert,13,configuration_only_matched_features,44,0.8742881805681921,0.36278675404799615,-0.011462091425229696,0.9878865830392657
bert,13,predicted_eta_prerun,44,0.8678221269305155,0.3719998334548915,0.05093511328301732,1.0025684675850741
bert,13,measured_eta_postrun,44,0.921024773568208,0.2875469766999468,0.10172774720398442,0.9943229060302241
bert,14,eta_predictor,42,0.9210841245960109,0.25093837085630766,0.043501013979967765,1.0180804021944625
bert,14,configuration_only_legacy_no_strategy,42,0.642836374304677,0.6063534127357343,0.7328895401476702,1.215359103611341
bert,14,configuration_only_matched_features,42,0.8999183354203087,0.32097371936472535,0.1019613359036158,1.058739083328267
bert,14,predicted_eta_prerun,42,0.8990466390490612,0.3223685054656353,0.12291783416711681,1.0635997675461497
bert,14,measured_eta_postrun,42,0.9278188011496794,0.27258644782308694,-0.16608609282402834,0.983205653936164
bert,15,eta_predictor,46,0.9582195844256003,0.1807894966726442,-0.014118801275469852,1.0030486936906369
bert,15,configuration_only_legacy_no_strategy,46,0.6094360275360386,0.7038257897953583,-0.25234145987689605,0.8956582988016636
bert,15,configuration_only_matched_features,46,0.9045635201244613,0.34791751504933105,0.2362350903357794,1.0300167751647913
bert,15,predicted_eta_prerun,46,0.9049548317800884,0.3472035112348849,0.31915131425160315,1.0515874950100146
bert,15,measured_eta_postrun,46,0.9488649753619419,0.25467031262914663,0.2251280475712176,1.0356953379137186
bert,16,eta_predictor,34,0.9364700802504129,0.24227079029675794,0.002742570769138307,1.048443432616246
bert,16,configuration_only_legacy_no_strategy,34,0.5550795806622817,0.685508325681599,-0.5513377960361618,0.8265980616805876
bert,16,configuration_only_matched_features,34,0.8698529622593589,0.37075644448039047,0.23589569810307004,1.0075175534935117
bert,16,predicted_eta_prerun,34,0.873612537107164,0.36536215718807197,0.26094698650472775,1.0144634849982284
bert,16,measured_eta_postrun,34,0.9282996935526083,0.2751896340939461,0.1658667893678828,0.9980721957315658
