setting,proxy,split,n_test,r2,rmse,calib_intercept,calib_slope,alpha_C,alpha_M,alpha_eta
pooled,M1_activation,10,194,0.9132773025383991,0.2724961357061123,0.11787590934978168,1.0241756479442488,0.09089452206784054,0.40070367325232664,-0.9125914495356949
pooled,M1_activation,11,180,0.9270342770677871,0.2507826436944298,0.1284209451001827,1.0270134971348295,0.06896763996583533,0.4397497288364874,-0.9033408660220915
pooled,M1_activation,12,189,0.8937140455984495,0.2786713229086202,-0.23256658100451785,0.9625725552537955,0.07849999484816472,0.43770112976079406,-0.8925765356023291
pooled,M1_activation,13,207,0.9331700336339817,0.2306275690853392,-0.02543399450031719,1.003958328151313,0.07970355133414175,0.43003795080379026,-0.9132430138421599
pooled,M1_activation,14,212,0.936882554462253,0.2473286411069008,-0.18881589946992616,0.9650704813200718,0.06283493438841614,0.4573514209372413,-0.9394889431212321
pooled,M1_activation,15,210,0.9251629198929938,0.2509054167503961,0.1822087718852389,1.0438258709017185,0.10108781887751736,0.38746867041063154,-0.8900296696510817
pooled,M1_activation,16,205,0.931959142573191,0.24675226144601883,-0.13831066835992595,0.9731002771610346,0.05391011878887761,0.474388361864187,-0.9137764710616826
pooled,M1_activation,17,186,0.9254255473358607,0.25512736164710603,0.17564375657474976,1.0317949001932827,0.07687435948015109,0.42267071200330375,-0.8976987372385486
pooled,M1_activation,18,182,0.9276508215363108,0.2510646385414619,0.11531626750218033,1.0197691768310118,0.0759517267494196,0.42784588766310244,-0.9123366306780716
pooled,M1_activation,19,191,0.9169217102653693,0.27530983360517297,-0.027269800898460702,1.0001619508835844,0.04993768452145675,0.47037008644231837,-0.9142700976352867
pooled,M2_activation_attention,0,202,0.909763854101592,0.27905806347008116,-0.26253365162477166,0.9548350082220334,0.12861358682749946,0.39975718054479503,-0.8713601793950521
pooled,M2_activation_attention,1,192,0.9293800394617352,0.24832527755830405,0.08471537445062366,1.0116792840859088,0.17167609726740837,0.3155136124212867,-0.846223915973269
pooled,M2_activation_attention,2,203,0.9232537578696773,0.26513272663543214,0.13676454947699207,1.0276004041876554,0.15689012222233373,0.33527306567485604,-0.832327095335888
pooled,M2_activation_attention,3,195,0.9148350365734758,0.27094265517639166,0.041742187459577244,1.0162909135853775,0.15664834800100358,0.334502741233622,-0.8636626208232856
pooled,M2_activation_attention,4,202,0.9166401024864289,0.261297367188603,0.06195721630748538,1.0152420248530618,0.1721715055234161,0.3226539679465587,-0.8112263807386676
pooled,M2_activation_attention,5,216,0.9181827379565628,0.27391919468444254,-0.37969135759047684,0.9183329499663787,0.17292602483250485,0.3476886349819781,-0.851922285213037
pooled,M2_activation_attention,6,179,0.8975278023790816,0.28126702788922103,-0.13918294008311158,0.980630426483887,0.16696838357047206,0.32938689827926915,-0.837011650573745
pooled,M2_activation_attention,7,208,0.9119375133685873,0.2721919405851705,-0.003849546286445551,1.0072570931206624,0.13522267450029335,0.37196777934711495,-0.8424005590811687
pooled,M2_activation_attention,8,209,0.9202900899489361,0.2540797517509306,0.015563662441032973,1.0120892637989976,0.16040328782961816,0.3365730288716268,-0.8351096465414813
pooled,M2_activation_attention,9,198,0.9114055717587445,0.2834568808023007,-0.05614539224274329,0.9662666698525929,0.16398024198258548,0.341031446545397,-0.8214117525687737
pooled,M2_activation_attention,10,194,0.9093993206000762,0.27852211611391636,0.1300523338057827,1.0266293234887325,0.16275101416771334,0.3194201335298064,-0.8588758299451424
pooled,M2_activation_attention,11,180,0.9237302650629337,0.25639771470918443,0.10912041050282073,1.0217850787019305,0.14761033034707066,0.3537311193524302,-0.8426891478745114
pooled,M2_activation_attention,12,189,0.8891167252989132,0.2846343844695784,-0.2369974149594854,0.9616666404909759,0.1560641080928109,0.3512456363127071,-0.836801133472392
pooled,M2_activation_attention,13,207,0.9298654883609462,0.2362607012798843,-0.03927289550001249,1.0003934534893957,0.16212969574108993,0.3360646703455574,-0.8547343866182237
pooled,M2_activation_attention,14,212,0.9316758282996457,0.2573279096289785,-0.2216652673124082,0.9589295112516203,0.13031975551199781,0.38901201148444536,-0.8926615095627842
pooled,M2_activation_attention,15,210,0.9223232957038603,0.2556212860705627,0.1780348687179825,1.0423066157807783,0.1754193689414728,0.3021804810726461,-0.8304096949033627
pooled,M2_activation_attention,16,205,0.9286860606437906,0.2526175194932996,-0.17693088796821443,0.9635199105796237,0.1381470117444629,0.3834247758632335,-0.8540709896352118
pooled,M2_activation_attention,17,186,0.9213376817839456,0.26202659372626225,0.16012615812422507,1.0279562139256837,0.15349277687801358,0.33814733547158216,-0.8366993775051903
pooled,M2_activation_attention,18,182,0.9232706476526537,0.2585529591100244,0.13556003990723514,1.0245252975577226,0.1500223313489751,0.3452249530444033,-0.8561933170108775
pooled,M2_activation_attention,19,191,0.9121291125516486,0.2831394971819559,-0.006117061547675446,1.004779978820195,0.12857318797010375,0.3833629003621408,-0.8550130956439276
pooled,M3_activation_parameter,0,202,0.9179713045450095,0.2660646700139986,-0.08245936882148101,1.0021613581331896,0.17790781083827242,0.2159639559362058,-0.7137326313034199
pooled,M3_activation_parameter,1,192,0.9011562761850143,0.29378643792452924,-0.05332673684935693,0.9795765460890005,0.13646591275374467,0.2619119828307663,-0.7815459627000173
pooled,M3_activation_parameter,2,203,0.9168531913707092,0.27596726578014313,0.3302082682260003,1.0724904461117595,0.1695643005389702,0.2112609293876791,-0.7221144863070855
pooled,M3_activation_parameter,3,195,0.9062619763992552,0.28425282961573,0.049731899080534235,1.013804288458954,0.17821821214014832,0.20992217614492004,-0.7453852415035466
pooled,M3_activation_parameter,4,202,0.9065002410395281,0.27673347297033163,0.08780022159925972,1.015587250802454,0.18013788844277734,0.21571074512010352,-0.7087865078505121
pooled,M3_activation_parameter,5,216,0.901180455055699,0.30103806930663035,-0.3352628498764664,0.9379854720475932,0.1486790393298253,0.25807136928776947,-0.763286137725011
pooled,M3_activation_parameter,6,179,0.8895766812455835,0.2919753561123096,-0.27349488796341037,0.9488676198836715,0.20105940485552198,0.19718833064188124,-0.7099975542060034
pooled,M3_activation_parameter,7,208,0.9175716933849812,0.26334069571810703,-0.027683533733926107,1.0026495898556997,0.18374728165778015,0.20902094143175604,-0.705592843080979
pooled,M3_activation_parameter,8,209,0.9078783231440892,0.2731459806386824,-0.10186520557847631,0.9850778153989632,0.16018488264117586,0.23724495473350904,-0.7454666857829961
pooled,M3_activation_parameter,9,198,0.8965206395533931,0.3063449086377178,-0.0009186337180052069,0.9745401344936215,0.1503208081927425,0.24835461631414565,-0.7370650964722766
pooled,M3_activation_parameter,10,194,0.8915491162082033,0.30472669870195906,0.16803707548879054,1.0297867563139018,0.15554151706328084,0.22841686041008324,-0.7694256880267849
pooled,M3_activation_parameter,11,180,0.9174517598367812,0.2667423303176979,0.2943136424440255,1.0643000019905189,0.15802085815065853,0.22673281706775378,-0.7382434787003741
pooled,M3_activation_parameter,12,189,0.8853078520113845,0.28948174650785,-0.2894753406122202,0.9511241594711212,0.18862739365743725,0.211512180114846,-0.7101295647395072
