setting,proxy,split,n_test,r2,rmse,calib_intercept,calib_slope,alpha_C,alpha_M,alpha_eta
gpt,M2_activation_attention,11,164,0.9213077125849882,0.26813983085615756,0.11046483861882948,1.0269844505555665,0.18807172119967702,0.29401756077448543,-0.8978609404505683
gpt,M2_activation_attention,12,163,0.894141453273902,0.29080544562707905,-0.45044396303186335,0.9031029155803133,0.23385223161863944,0.2541453884032933,-0.9100311263939184
gpt,M2_activation_attention,13,172,0.9279233970080665,0.2507968364194002,-0.26493459358159366,0.9467892636921573,0.23263062810861196,0.25219830017252115,-0.8916725945837702
gpt,M2_activation_attention,14,177,0.9255181350600182,0.2655561406933405,-0.1507221846538594,0.9743857430615582,0.19281094655606532,0.2972263932966621,-0.9212119306195955
gpt,M2_activation_attention,15,171,0.9203975046772647,0.2595485534674055,-0.2677451229429676,0.9421179458940793,0.2176262601938096,0.2704217607393681,-0.9207515062692067
gpt,M2_activation_attention,16,181,0.9247230074777341,0.2664231111799476,0.058676710816058235,1.0160599573119016,0.16668665203206007,0.3210265136327871,-0.953655124260326
gpt,M2_activation_attention,17,169,0.914780195074934,0.2732059222708319,-0.2704425835876746,0.9386979964188626,0.2063057051933721,0.2958505607280363,-0.899656569697196
gpt,M2_activation_attention,18,175,0.9426002699684364,0.2377824130541103,0.09808624069410063,1.0174957398932472,0.19015429754431257,0.29446627686084337,-0.8984451219667244
gpt,M2_activation_attention,19,174,0.9257182110810946,0.2640118385032445,-0.1509380557965294,0.979174811612729,0.1560967866592482,0.35463640039775435,-0.9152856260246901
gpt,M3_activation_parameter,0,173,0.8837640142701436,0.31190533817631433,0.032160222359915905,1.0119590039415898,0.26497150318338003,0.12193296011978787,-0.7828844912622798
gpt,M3_activation_parameter,1,168,0.9189539179326034,0.29105031295342876,0.020570762152659048,0.9951149411759185,0.29838195203893075,0.09843818651268563,-0.7403192717359266
gpt,M3_activation_parameter,2,175,0.9095790784603045,0.28917914989591736,-0.20750991358061993,0.9561879495905381,0.27316124212898674,0.13129618167605406,-0.7638890936024683
gpt,M3_activation_parameter,3,176,0.9278702397026286,0.27657727401876825,-0.09925983848698955,0.9688574951246283,0.26543733276417536,0.13598408484951618,-0.7842425340265563
gpt,M3_activation_parameter,4,168,0.929199565685065,0.2610772103169186,-0.09283070467785451,0.985052081113489,0.31981747183393183,0.0782521964005061,-0.7347048818571144
gpt,M3_activation_parameter,5,177,0.9062651077709692,0.2924535459702488,-0.01792478073762017,1.0121419379541827,0.2646276213554447,0.12315563628661776,-0.7525022417490923
gpt,M3_activation_parameter,6,172,0.9083176848068775,0.28112973603867863,-0.15183907091404109,0.9817214025281173,0.3351892408365872,0.053970396267955405,-0.7447014429440547
gpt,M3_activation_parameter,7,166,0.9176395629715264,0.25851824500070864,0.12378244622782522,1.024661153269473,0.27024092204854183,0.11892539472092484,-0.7615313251910071
gpt,M3_activation_parameter,8,170,0.9098888604933643,0.27792346793291917,0.12826441062855723,1.032406483285468,0.28609578817413595,0.09576937072870706,-0.7638918240801925
gpt,M3_activation_parameter,9,172,0.9106432828428085,0.27227018565824024,0.20530848522508896,1.0414065875754726,0.2559150748356063,0.13140662437845302,-0.7829077153719193
gpt,M3_activation_parameter,10,167,0.9181751993523188,0.27378948977537676,0.1453377731250085,1.017994001044247,0.26722966371190743,0.12039859922715823,-0.766308240278997
gpt,M3_activation_parameter,11,164,0.909611814630691,0.2873763868462444,0.2537715880906556,1.0444866936952533,0.2726083441109551,0.1098091450133023,-0.7750445026282852
gpt,M3_activation_parameter,12,163,0.8619695356009835,0.33206801469283176,-0.5611995173378463,0.8743146223900033,0.2556467711267576,0.15733023064258114,-0.8152797143421938
gpt,M3_activation_parameter,13,172,0.9072161695595917,0.28455161043300187,-0.28685661915920896,0.943647037958093,0.2691642844396703,0.13510549534645472,-0.7824756322245494
gpt,M3_activation_parameter,14,177,0.9152774548139299,0.2832243405951588,-0.31533541211720323,0.9338215068577045,0.3063105280432501,0.09632171728046922,-0.7704802941701859
gpt,M3_activation_parameter,15,171,0.8997013000772454,0.29134188357317103,-0.3674706217934031,0.9174339447595898,0.266494479224752,0.1398537529360908,-0.8057338162006634
gpt,M3_activation_parameter,16,181,0.9214813965599826,0.27209906464004946,-0.019436129678074312,1.0016175746985259,0.2839260274718468,0.1010375111627048,-0.7913488581456206
gpt,M3_activation_parameter,17,169,0.9014988373135661,0.2937247344566809,-0.3035027863308373,0.9278547623556221,0.2857538039167785,0.12173818125638096,-0.7735634830307211
gpt,M3_activation_parameter,18,175,0.934661410525659,0.2536937000104528,0.08147706223961632,1.017741803737259,0.2873597529403457,0.10083866483428258,-0.748819329548456
gpt,M3_activation_parameter,19,174,0.9343262986140066,0.24824354886714756,-0.07283682961567096,0.9899554564700835,0.3417976265982926,0.04819644518780697,-0.7308126624893486
gpt,M4_activation_distributed_state,0,173,0.8907416195975139,0.30239867602891946,0.05293654758678044,1.0170902480914896,0.22152206606434338,0.18411593642069637,-0.802716802315238
gpt,M4_activation_distributed_state,1,168,0.9248847766933325,0.2801986505882384,0.017725546716263113,0.9948816135181756,0.23185605998618689,0.1851535346848821,-0.7682383548582838
gpt,M4_activation_distributed_state,2,175,0.9149527181806778,0.28045470554501395,-0.20722587000126275,0.955849636995341,0.21988335495775013,0.20511545025067887,-0.7853867500075654
