setting,proxy,split,n_test,r2,rmse,calib_intercept,calib_slope,alpha_C,alpha_M,alpha_eta
bert,M1_activation,18,40,0.9471676437367148,0.20459743381317833,-0.10014283202767531,0.9960099171754853,0.0644569440091696,0.39507735695010093,-1.0711592522164317
bert,M1_activation,19,51,0.9530959889650682,0.21531830373211677,-0.20208151910821878,0.9624915912258869,0.049898542341472174,0.4335362836228005,-1.1320292256596194
bert,M2_activation_attention,0,37,0.9413720106451459,0.24083120729490504,0.13337797352514458,1.036141832510958,0.09169055708683058,0.3911784145614247,-1.052155581158337
bert,M2_activation_attention,1,39,0.9510160772103274,0.23784932953749569,0.123611255017142,1.0217956131726267,0.09534230874694483,0.3887832707312372,-1.052680377855335
bert,M2_activation_attention,2,29,0.919180054171547,0.2735059865644495,0.14583454303906224,1.0456404939737882,0.03971586425896158,0.4757278652160351,-1.2335049789359436
bert,M2_activation_attention,3,45,0.9354450801629572,0.2561013979443929,0.026124429374096748,1.008101680460717,0.0877725944966791,0.39594002412858276,-1.0657493425076638
bert,M2_activation_attention,4,34,0.9390984180615486,0.2207531179119391,-0.007865725893400512,0.992722213776174,0.1085885259549899,0.3832802655548988,-1.132154282482157
bert,M2_activation_attention,5,34,0.9528035905849104,0.23336159478409932,0.15441423274914975,1.0214089970105784,0.08649059169760535,0.3994244912693412,-1.1153198258966126
bert,M2_activation_attention,6,39,0.9294658729605786,0.2559247683412758,0.08764066657344757,1.0303084528776052,0.09311063277888948,0.4079431907359623,-1.0438398971745524
bert,M2_activation_attention,7,36,0.9462519828961826,0.24130313167431663,0.2951171850870276,1.0533923214922625,0.09699735819362895,0.37825871796589733,-1.0399352119224345
bert,M2_activation_attention,8,47,0.9580516017860847,0.20903019453848104,-0.11543658667931395,0.9711521162860531,0.07532938367877418,0.45635040106906055,-1.1566486462827972
bert,M2_activation_attention,9,44,0.9496562223633966,0.22009036869479748,-0.15995489154573567,0.9608745335945802,0.09001352486821883,0.42301798699306914,-1.0737803612332455
bert,M2_activation_attention,10,41,0.9556411683098911,0.21830731670710413,-0.042036629319313644,0.9858043141971785,0.061435335885661926,0.4396083175432489,-1.167333403936345
bert,M2_activation_attention,11,35,0.9257505693193044,0.27498714389389206,0.28254675605738344,1.073284887087574,0.07250242891897848,0.42501042503473996,-1.120823750344458
bert,M2_activation_attention,12,41,0.9502050130502427,0.21570291857853818,-0.07417488203130211,0.9893384512726248,0.0821386243570932,0.41247569838513887,-1.1578953691421898
bert,M2_activation_attention,13,44,0.9173696877203439,0.2941257603524281,0.08108090633228958,0.9863490263257714,0.0269314227577461,0.5113380401151815,-1.1996054774700453
bert,M2_activation_attention,14,42,0.9275235832354698,0.27314331228046684,-0.20899511406482052,0.9681385777052796,0.04862338289577414,0.4697047741577256,-1.2817092844037516
bert,M2_activation_attention,15,46,0.9548176224326136,0.23938868929523094,0.2622427723387526,1.050271935476117,0.10011673448345869,0.3854949255014313,-1.0707260933789815
bert,M2_activation_attention,16,34,0.9379256410047586,0.2560517135806951,0.25142559901918643,1.0236315825862896,0.06995754077498828,0.4201741258435366,-1.16343362921308
bert,M2_activation_attention,17,39,0.9201673131769604,0.2486060618819029,0.0008463373263528888,1.0328740970239396,0.07960470051203472,0.42627228752099183,-1.1126240477275837
bert,M2_activation_attention,18,40,0.9486105935360098,0.20178412364449955,-0.08570894435819373,0.9958001632165372,0.08921044921841692,0.412197178373784,-1.0902709269566246
bert,M2_activation_attention,19,51,0.9570898520891469,0.20594723419706892,-0.1634758231471627,0.9757746060934727,0.07994199048738096,0.43588347437241187,-1.1306795417384201
bert,M3_activation_parameter,0,37,0.9317073781381624,0.2599244632355616,0.2463108129949959,1.058461008615139,-0.0023103525571437876,0.3635562524967559,-0.9600875207292585
bert,M3_activation_parameter,1,39,0.9412651965139356,0.2604491297381972,0.20967500578867201,1.0432290001257627,-0.023290389878788842,0.3870590922872321,-0.9906631948316932
bert,M3_activation_parameter,2,29,0.9364367123938769,0.24255528118415828,-0.11827953254610687,1.0109402435997088,-0.017082389820874896,0.39012911567656944,-1.0367021310732734
bert,M3_activation_parameter,3,45,0.9348267790556474,0.25732493306137166,0.2818583844503411,1.0577258261775968,0.00751773140054076,0.3504944128059618,-0.9284859352225606
bert,M3_activation_parameter,4,34,0.9055536461266948,0.2749065943563127,-0.3040827882516834,0.9203962975411962,0.019963366317426484,0.3776111591986847,-1.064845332870987
bert,M3_activation_parameter,5,34,0.9499271322308832,0.24036771592882752,0.13759496606926333,1.0294986102117976,-0.011009721845115714,0.37416971329308824,-1.0141007845394616
bert,M3_activation_parameter,6,39,0.9355429059146984,0.2446515841230235,0.3181628617584192,1.0719899045535592,0.008327525789901591,0.36848661082145473,-0.9260986372465954
bert,M3_activation_parameter,7,36,0.9329611315815025,0.26949150046509807,0.28749648498631863,1.0577971842075307,-0.006205463163517541,0.3609510904408699,-1.0072161988362631
bert,M3_activation_parameter,8,47,0.9476311237319437,0.23355435033683847,-0.3921986236535518,0.900751125278875,0.019107305795566076,0.38614008035496805,-1.0886077286107474
